Date : 2022-03-12 18:56:19
Directory : /home/Aaron-Li/Obsidian_Workspace
Total : 246 files,  276964 codes, 143025 comments, 38643 blanks, all 458632 lines

Languages
+----------------------+------------+------------+------------+------------+------------+
| language             | files      | code       | comment    | blank      | total      |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Amethyst.css                                                             | CSS                  |        468 |         54 |        133 |        655 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Ars Magna.css                                                            | CSS                  |        330 |         48 |         62 |        440 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Atom.css                                                                 | CSS                  |        392 |          6 |         75 |        473 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Aurora.css                                                               | CSS                  |      1,289 |        153 |        253 |      1,695 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Ayu Mirage.css                                                           | CSS                  |      1,246 |        399 |        370 |      2,015 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Ayu.css                                                                  | CSS                  |      1,349 |        419 |        385 |      2,153 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Base2Tone.css                                                            | CSS                  |        225 |         26 |         25 |        276 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Behave dark.css                                                          | CSS                  |        460 |        131 |        110 |        701 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Big Sur Aesthetic.css                                                    | CSS                  |        248 |          0 |         29 |        277 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Blackbird.css                                                            | CSS                  |        125 |         12 |         32 |        169 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Blue Topaz.css                                                           | CSS                  |     11,172 |      1,976 |      2,123 |     15,271 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Bubble Space.css                                                         | CSS                  |      2,566 |        545 |        529 |      3,640 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/California Coast.css                                                     | CSS                  |      5,994 |        557 |        758 |      7,309 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Cardstock.css                                                            | CSS                  |        353 |          0 |         66 |        419 |
| /home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Carnelian.css                                                            | CSS                  |        537 |         76 |        142 |        755 |
