"filename", "language", "source.markdown.math", "JSON", "CSS", "JavaScript", "XML", "Batch", "comment", "blank", "total"
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Discordian.css", "CSS", 0, 0, 3082, 0, 0, 0, 305, 788, 4175
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Dracula for Obsidian.css", "CSS", 0, 0, 470, 0, 0, 0, 134, 114, 718
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Ebullientworks.css", "CSS", 0, 0, 1857, 0, 0, 0, 100, 155, 2112
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Emerald.css", "CSS", 0, 0, 537, 0, 0, 0, 78, 143, 758
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Everforest.css", "CSS", 0, 0, 459, 0, 0, 0, 57, 78, 594
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Faded.css", "CSS", 0, 0, 1475, 0, 0, 0, 499, 374, 2348
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Firefly.css", "CSS", 0, 0, 672, 0, 0, 0, 0, 50, 722
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Friendly.css", "CSS", 0, 0, 1480, 0, 0, 0, 92, 352, 1924
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/GDCT Dark.css", "CSS", 0, 0, 1252, 0, 0, 0, 388, 369, 2009
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/GDCT.css", "CSS", 0, 0, 1243, 0, 0, 0, 389, 365, 1997
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Gastown.css", "CSS", 0, 0, 334, 0, 0, 0, 84, 110, 528
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Gitsidian.css", "CSS", 0, 0, 448, 0, 0, 0, 14, 102, 564
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Golden Book.css", "CSS", 0, 0, 1425, 0, 0, 0, 244, 365, 2034
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Golden Coffee.css", "CSS", 0, 0, 1454, 0, 0, 0, 255, 375, 2084
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Golden Topaz.css", "CSS", 0, 0, 3521, 0, 0, 0, 1324, 656, 5501
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Higlighter.css", "CSS", 0, 0, 608, 0, 0, 0, 37, 131, 776
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Hipstersmoothie.css", "CSS", 0, 0, 261, 0, 0, 0, 13, 46, 320
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Horizon.css", "CSS", 0, 0, 1, 0, 0, 0, 0, 0, 1
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Hulk.css", "CSS", 0, 0, 464, 0, 0, 0, 92, 114, 670
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/ITS Theme.css", "CSS", 0, 0, 5510, 0, 0, 0, 1935, 790, 8235
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Iceberg.css", "CSS", 0, 0, 204, 0, 0, 0, 18, 19, 241
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Illusion.css", "CSS", 0, 0, 1142, 0, 0, 0, 12, 8, 1162
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Lizardmen Zettelkasten.css", "CSS", 0, 0, 966, 0, 0, 0, 98, 278, 1342
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Mammoth.css", "CSS", 0, 0, 311, 0, 0, 0, 31, 30, 372
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Minimal.css", "CSS", 0, 0, 5865, 0, 0, 0, 901, 348, 7114
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Molecule.css", "CSS", 0, 0, 250, 0, 0, 0, 26, 50, 326
"/home/Aaron-Li/Obsidian_Workspace/library/.obsidian/themes/Moonlight.css", "CSS", 0, 0, 286, 0, 0, 0, 30, 72, 388
